option,value,n
winhighlight,CursorLineFold:CursorLineFold,5
winhighlight,CursorLineNr:CursorLineNr,5
winhighlight,CursorLineSign:CursorLineSign,5
winhighlight,Visual:Visual,5
winhighlight,Folded:NeogitFold,2
winhighlight,CursorLine:NvimTreeCursorLine,1
winhighlight,CursorLineNr:NvimTreeCursorLineNr,1
winhighlight,EndOfBuffer:NvimTreeEndOfBuffer,1
winhighlight,Normal:ActiveWindow,1
winhighlight,Normal:NvimTreeNormal,1
winhighlight,NormalNC:InactiveWindow,1
winhighlight,NormalNC:NvimTreeNormalNC,1
winhighlight,SignColumn:NvimTreeSignColumn,1
winhighlight,SpecialKey:SpecialKeyWin,1
winhighlight,StatusLine:NvimTreeStatusLine,1
winhighlight,StatusLineNC:NvimTreeStatuslineNC,1
winhighlight,WinSeparator:NvimTreeWinSeparator,1
