option,value,n,percent
statusline,"'%{lightline#link()}%#LightlineLeft_active_0#%( %{lightline#mode()} %)%{(&paste)?""|"":""""}%( %{&paste?""PASTE"":""""} %)%#LightlineLeft_active_0_1#%#LightlineLeft_active_1#%( %{coc#status()} %)%{coc#status()!=#""""&&((&readonly)||1||(&modified||!&modifiable))?""|"":""""}%( %R %)%{(&readonly)&&(1||(&modified||!&modifiable))?""|"":""""}%( %t %)%{(&modified||!&modifiable)?""|"":""""}%( %M %)%#LightlineLeft_active_1_2#%#LightlineMiddle_active#%=%#LightlineRight_active_2_3#%#LightlineRight_active_2#%( %{&ff} %)%{1||1?""|"":""""}%( %{&fenc!=#""""?&fenc:&enc} %)%{1?""|"":""""}%( %{&ft!=#""""?&ft:""no ft""} %)%#LightlineRight_active_1_2#%#LightlineRight_active_1#%( %3p%% %)%#LightlineRight_active_0_1#%#LightlineRight_active_0#%( %3l:%-2c %)'",1,0%
statusline,"'%{lightline#link()}%#LightlineLeft_active_0#%( %{lightline#mode()} %)%{(&paste)?""|"":""""}%( %{&paste?""PASTE"":""""} %)%#LightlineLeft_active_0_1#%#LightlineLeft_active_1#%( %R %)%{(&readonly)&&(1||(&modified||!&modifiable))?""|"":""""}%( %t %)%{(&modified||!&modifiable)?""|"":""""}%( %M %)%#LightlineLeft_active_1_2#%#LightlineLeft_active_2#%( %{FugitiveHead()} %)%#LightlineLeft_active_2_3#%#LightlineMiddle_active#%=%#LightlineRight_active_2_3#%#LightlineRight_active_2#%( %{&ff} %)%{1||1?""|"":""""}%( %{&fenc!=#""""?&fenc:&enc} %)%{1?""|"":""""}%( %{&ft!=#""""?&ft:""no ft""} %)%#LightlineRight_active_1_2#%#LightlineRight_active_1#%( %3p%% %)%#LightlineRight_active_0_1#%#LightlineRight_active_0#%( %3l:%-2c %)'",1,0%
statusline,"'%{lightline#link()}%#LightlineLeft_active_0#%( %{lightline#mode()} %)%{(&paste)?"""":""""}%( %{&paste?""PASTE"":""""} %)%#LightlineLeft_active_0_1#%#LightlineLeft_active_1#%( %{LightlineFugitive()} %)%{LightlineFugitive()!=#""""&&(LightlineReadonly()!=#""""||1||(&modified||!&modifiable)||exists(""*coc#status"")&&coc#status()!=#""""||CocCurrentFunction()!=#"""")?"""":""""}%( %{LightlineReadonly()} %)%{LightlineReadonly()!=#""""&&(1||(&modified||!&modifiable)||exists(""*coc#status"")&&coc#status()!=#""""||CocCurrentFunction()!=#"""")?"""":""""}%( %t %)%{(&modified||!&modifiable)||exists(""*coc#status"")&&coc#status()!=#""""||CocCurrentFunction()!=#""""?"""":""""}%( %M %)%{(&modified||!&modifiable)&&(exists(""*coc#status"")&&coc#status()!=#""""||CocCurrentFunction()!=#"""")?"""":""""}%( %{exists(""*coc#status"")?coc#status():""""} %)%{exists(""*coc#status"")&&coc#status()!=#""""&&(CocCurrentFunction()!=#"""")?"""":""""}%( %{CocCurrentFunction()} %)%#LightlineLeft_active_1_2#%#LightlineMiddle_active#%=%#LightlineRight_active_2_3#%#LightlineRight_active_2#%( %{&ff} %)%{1||1?"""":""""}%( %{&fenc!=#""""?&fenc:&enc} %)%{1?"""":""""}%( %{&ft!=#""""?&ft:""no ft""} %)%#LightlineRight_active_1_2#%#LightlineRight_active_1#%( %3p%% %)%#LightlineRight_active_0_1#%#LightlineRight_active_0#%(  %3l:%-2v %)'",1,0%
statusline,%!airline#statusline(2),1,0%
statusline,"%!luaeval('require(\""el\"").run(1000)')",1,0%
statusline,"%!luaeval('require(\""mesopotamia.statusline_winbar\"").super_custom_status_line()')",1,0%
statusline,%!luaeval('STATUS(vim.g.statusline_winid)'),1,0%
statusline,%!Status(1),1,0%
statusline,%!STLFunc(),1,0%
statusline,%!v:lua.L.statusline.apply(),1,0%
statusline,%!v:lua.require'locals.awesome.statusline'.render(),1,0%
statusline,%!v:lua.Statusline.statusline(),1,0%
statusline,%!v:lua.Statusline(),1,0%
statusline,"%!v:lua.WindLine.show(6,1000)",1,0%
statusline,"%{%luaeval('require(\""hardline\"").update_statusline(true)')%}",1,0%
statusline,%{%v:lua.QuackStatus()%},1,0%
statusline,%{%v:lua.require'nvim-navic'.get_location()%},1,0%
statusline,%{%v:lua.require'status-line'(v:true)%},1,0%
statusline,%{%v:lua.require('lines.statusline').statusline()%},1,0%
statusline,%{%v:lua.Status_Line()%},1,1%
statusline,%{%v:lua.status.get_statusline()%},1,1%
statusline,%{%v:lua.string.upper(v:lua.vim.fn.mode())%} %.30F %m%r%y%= %c %l/%L %P,1,1%
statusline,%{FugitiveStatusline()}%< %t%m%< %h%< %r%< %w%=%l%=%p%%,1,1%
statusline,"%{lightline#link()}%#LightlineLeft_active_0#%( %{lightline#mode()} %)%{(&paste)?\""|\"":\""\""}%( %{&paste?\""PASTE\"":\""\""} %)%#LightlineLeft_active_0_1#%#LightlineLeft_active_1#%( %{pathshorten(fnamemodify(getcwd(), ':~'))} %)%{(expand('%:h') != '' && expand('%:h') != '.')||exists(\""*fugitive#head\"")&&fugitive#head()!=#\""\""||(&readonly)||1||(&modified||!&modifiable)||(len(luaeval('__other_buffers()')) > 0)?\""|\"":\""\""}%( %{luaeval('sl_reldir()')} %)%{(expand('%:h') != '' && expand('%:h') != '.')&&(exists(\""*fugitive#head\"")&&fugitive#head()!=#\""\""||(&readonly)||1||(&modified||!&modifiable)||(len(luaeval('__other_buffers()')) > 0))?\""|\"":\""\""}%( %{exists(\""*fugitive#head\"")?fugitive#head():\""\""} %)%{exists(\""*fugitive#head\"")&&fugitive#head()!=#\""\""&&((&readonly)||1||(&modified||!&modifiable)||(len(luaeval('__other_buffers()')) > 0))?\""|\"":\""\""}%( %R %)%{(&readonly)&&(1||(&modified||!&modifiable)||(len(luaeval('__other_buffers()')) > 0))?\""|\"":\""\""}%( %t %)%{(&modified||!&modifiable)||(len(luaeval('__other_buffers()')) > 0)?\""|\"":\""\""}%( %M %)%{(&modified||!&modifiable)&&((len(luaeval('__other_buffers()')) > 0))?\""|\"":\""\""}%( %{luaeval('sl_other_buffers()')} %)%#LightlineLeft_active_1_2#%#LightlineMiddle_active#%=%#LightlineRight_active_2_3#%#LightlineRight_active_2#%( %{&ff} %)%{1||1?\""|\"":\""\""}%( %{&fenc!=#\""\""?&fenc:&enc} %)%{1?\""|\"":\""\""}%( %{&ft!=#\""\""?&ft:\""no ft\""} %)%#LightlineRight_active_1_2#%#LightlineRight_active_1#%( %{&ft=='pandoc'?wordcount().words:''} %)%#LightlineRight_active_0_1#%#LightlineRight_active_0#%( %3l:%-2c %)",1,1%
statusline,"%#Ponton_void#%{%luaeval('require(\""ponton\"").segment')(\""void\"")%}%#Ponton_mode_margin_left# %#Ponton_mode#%{%luaeval('require(\""ponton\"").segment')(\""mode\"")%}%#Ponton_mode_margin_right# %#Ponton_buffer_changed#%{%luaeval('require(\""ponton\"").segment')(\""buffer_changed\"")%}%#Ponton_git_branch#%{%luaeval('require(\""ponton\"").segment')(\""git_branch\"")%}%#Ponton_spacer#%=%#Ponton_lsp_spinner#%{%luaeval('require(\""ponton\"").segment')(\""lsp_spinner\"")%}%#Ponton_lsp_error#%{%luaeval('require(\""ponton\"").segment')(\""lsp_error\"")%}%#Ponton_lsp_warning#%{%luaeval('require(\""ponton\"").segment')(\""lsp_warning\"")%}%#Ponton_lsp_information#%{%luaeval('require(\""ponton\"").segment')(\""lsp_information\"")%}%#Ponton_lsp_hint#%{%luaeval('require(\""ponton\"").segment')(\""lsp_hint\"")%}%#Ponton_line#%{%luaeval('require(\""ponton\"").segment')(\""line\"")%}%#Ponton_sep#%{%luaeval('require(\""ponton\"").segment')(\""sep\"")%}%#Ponton_column#%{%luaeval('require(\""ponton\"").segment')(\""column\"")%}%#Ponton_line_percent#%{%luaeval('require(\""ponton\"").segment')(\""line_percent\"")%}",1,1%
statusline,%#Statement#%(%m%h%r%w %)%*%f%#FoldColumn#%( | %)%*%y%=%l:%c / %L%#FoldColumn#%( | %)%*%P,1,1%
statusline,%#StatusLine#,1,1%
statusline,%=,1,1%
statusline,%0* %{g:currentmode[mode()]} %1* %<%t%m%r %2* %{LspReport()}%= %Y | %{&ff} | %{&fenc} %1* %3p%% %0* %{%WordCountOrRowCol()%} ,1,1%
statusline,"%1*%{winnr()} %*%< %f %h%m%r%=%l,%c%V (%P)",1,1%
statusline,"%1*%f%*%m%w %y %{v:lua.require'lib.statusline'.git()} %{&spell ? printf('[spell=%s]', &spelllang) : ''} %2*%{v:lua.require'lib.statusline'.lint()}%* %2*%{v:lua.require'lib.statusline'.formatting()}%* %{v:lua.require'lib.statusline'.debugger()} %= %p%% %4l/%L:%-2c",1,1%
statusline,%F %y %h%m%r%w%=L%l/%L (%P) Co%v Ch%c,1,1%
statusline,%q%.20f%( [%M%R%H]%)%<%=%a,1,1%
suffixes,*default*,220,97%
suffixes,".bak,~,.o,.h,.info,.swp,.obj,.sty,.cls,.log,.aux,.bbl,.out,.blg,.brf,.cb,.dvi,.fdb_latexmk,.fls,.idx,.ilg,.ind,.inx,.pdf,.synctex.gz,.toc",2,1%
suffixes," .pdf, .txt, .png, .jpg, .jpeg .mp3, .wav, .ttf",1,0%
suffixes,".bak,~,.o,.h,.info,.swp,.obj,.pyc,.pyo,.egg-info,.class",1,0%
suffixes,".bak,~,.o,.h,.info,.swp,.obj,.snap",1,0%
suffixes,".bak,~,.o,.info,.swp,.obj",1,1%
suffixes,".un~,.bak,~,.swp,.log,.data",1,1%
suffixesadd,*default*,225,99%
suffixesadd,".tex,.latex,.java,.js,.hrl,.erl,.lisp,.asd,.lua",1,0%
suffixesadd,.ts,1,1%
switchbuf,*default*,217,96%
switchbuf,usetab,3,1%
switchbuf,useopen,2,1%
switchbuf,"useopen,usetab",2,1%
switchbuf,"uselast,usetab,split",1,0%
switchbuf,"useopen,uselast",1,0%
switchbuf,"usetab,newtab",1,1%
synmaxcol,*default*,208,92%
synmaxcol,250,4,2%
synmaxcol,300,4,2%
synmaxcol,240,3,1%
synmaxcol,1000,1,0%
synmaxcol,1024,1,0%
synmaxcol,200,1,0%
synmaxcol,2500,1,0%
synmaxcol,500,1,0%
synmaxcol,512,1,1%
synmaxcol,600,1,1%
synmaxcol,800,1,1%
tabline,*default*,111,50%
tabline,%!v:lua.nvim_bufferline(),51,23%
tabline,%!v:lua.MiniTabline.make_tabline_string(),9,4%
tabline,%!lightline#tabline(),3,1%
tabline,%!v:lua.require'luatab'.helpers.tabline(),3,1%
tabline,%!v:lua.require'tabline_framework'.make_tabline(),3,1%
tabline,%!airline#extensions#tabline#get(),2,1%
tabline,%!TabbyRenderTabline(),2,1%
tabline,%!TabbyTabline(),2,1%
tabline,%!TabooTabline(),2,1%
tabline,%!v:lua.cokeline.tabline(),2,1%
tabline,%!ctrlspace#api#Tabline(),1,0%
tabline,"%!luaeval('require(\""buftabline.build\"")()')",1,0%
tabline,"%!luaeval('require(\""hardline\"").update_bufferline()')",1,0%
tabline,%!Tabline(),1,0%
tabline,%!TALFunc(),1,0%
tabline,%!v:lua.L.tabline.apply(),1,0%
tabline,%!v:lua.my_tabline(),1,0%
tabline,%!v:lua.nvim_tabline(),1,0%
tabline,%!v:lua.require'locals.awesome.tabline'.render(),1,0%
tabline,%!v:lua.require'settings'.tabline(),1,0%
tabline,%!v:lua.require'tabline.tabline'.render(),1,0%
tabline,%!v:lua.require('nvchad_ui').tabufline(),1,0%
tabline,%!v:lua.require('tabline').render(),1,0%
tabline,%!v:lua.tabline_buffers_tabs(),1,0%
tabline,%!v:lua.WindLine.tabline.show(),1,0%
tabline,%!xtabline#render#tabline(),1,0%
tabline,%{%v:lua.require'config.ui.tabline'.tabline()%},1,0%
tabline,%{%v:lua.require'heirline'.eval_tabline()%},1,0%
tabline,%{%v:lua.require('tabline').get_tabline()%},1,0%
tabline,%{%v:lua.require('three.bufferline').render()%},1,0%
tabline,%#lualine_a_buffers_active#%1@LualineSwitchBuffer@  [No Name] %T%#lualine_transitional_lualine_a_buffers_active_to_lualine_c_command#%<%#lualine_c_command#%=%#lualine_transitional_lualine_z_tabs_active_to_lualine_c_command#%#lualine_z_tabs_active#%1@LualineSwitchTab@ 1 [No Name] %T,1,0%
tabline,%#lualine_a_buffers_active#%1@LualineSwitchBuffer@ [No Name] %T%#lualine_transitional_lualine_a_buffers_active_to_TabLineFill#,1,0%
tabline,%#lualine_a_buffers_inactive#%2@LualineSwitchBuffer@  keymaps.lua %T%#lualine_a_buffers_inactive#%3@LualineSwitchBuffer@  plugins.lua %T%#lualine_a_buffers_inactive#%4@LualineSwitchBuffer@  init.lua %T%#lualine_a_buffers_inactive#%5@LualineSwitchBuffer@  on_attach.lua %T%#lualine_a_buffers_active#%14@LualineSwitchBuffer@  survey.lua %T%<%#lualine_c_command#%=%#lualine_z_tabs_active#%1@LualineSwitchTab@ 1 %T,1,1%
tabline,%#lualine_a_tabs_active#%1@LualineSwitchTab@ 1 neovim-options-servey.lua %T%#lualine_transitional_lualine_a_tabs_active_to_lualine_c_normal#%#lualine_c_normal#%=,1,1%
tabline,%#lualine_a_tabs_active#%1@LualineSwitchTab@ 1 survey.lua %T%#lualine_transitional_lualine_a_tabs_active_to_lualine_c_normal#%#lualine_c_normal#%=,1,1%
tabline,%#tabline_a_normal# %1@TablineSwitchBuffer@ Alpha %T%#tabline_a_to_c# %<%#lualine_c_normal#%=%#lualine_c_normal# %=%#TabLineFill#%999X %#lualine_transitional_lualine_a_command_to_TabLineFill#%#lualine_a_command# 17:29 ,1,1%
tabline,%#tabline_a_normal# %3@TablineSwitchBuffer@  ads.js %T%#tabline_a_to_c# %<%#lualine_c_normal#%=%#lualine_transitional_lualine_y_aerial_FunctionIcon_command_to_lualine_c_normal#%#lualine_y_aerial_FunctionIcon_command#  %#lualine_y_aerial_Function_command#GMTisMobile %#lualine_b_normal#%#lualine_y_filetype_DevIconJs_command# %#lualine_b_normal# javascript %#lualine_transitional_lualine_a_normal_to_lualine_b_normal#%#lualine_a_normal# Top ,1,1%
tabline,%<%#lualine_c_buffers_active#%1@LualineSwitchBuffer@ [No Name] %T%#lualine_c_normal#%=,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %#BufferInactiveIndex#1 %1@BufferlineMainClickHandler@%#BufferInactive# %1@               BufferlineMainClickHandler@%#BufferInactive#[buffer 1]     %1@BufferlineCloseClickHandler@%#BufferInactive# %4@BufferlineMainClickHandler@                 %#BufferCurrentSign#▎    %#BufferCurrentIndex#2 %4@BufferlineMainClickHandler@%#DevIconDefaultCurrent# %4@BufferlineMainClickHandler@                      %#BufferCurrent#[buffer 4]     %4@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@                                              %#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %#BufferInactiveIndex#1 %1@BufferlineMainClickHandler@%#BufferInactive# %1@BufferlineMainClickHandler@%#BufferInactive#[buffer 1]     %1@BufferlineCloseClickHandler@%#BufferInactive# %4@BufferlineMainClickHandler@%#BufferCurrentSign#▎    %#BufferCurrentIndex#2 %4@BufferlineMainClickHandler@%#DevIconDefaultCurrent# %4@BufferlineMainClickHandler@%#BufferCurrent#[buffer 4]     %4@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@%#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %1@BufferlineMainClickHandler@%#BufferInactive# %1@BufferlineMainClickHandl       er@%#BufferInactive#[buffer 1]     %1@BufferlineCloseClickHandler@%#BufferInactive# %26@BufferlineMainClickHandler@%#BufferCurrentSign#▎           %26@BufferlineMainClickHandler@%#DevIconDefaultCurrent# %26@BufferlineMainClickHandler@%#BufferCurrent#[buffer 26]     %26@BufferlineCloseCl       ickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@%#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %1@BufferlineMainClickHandler@%#BufferInactive# %1@BufferlineMainClickHandler@%#BufferInactive#[buffer       ↳ 1]     %1@BufferlineCloseClickHandler@%#BufferInactive# %3@BufferlineMainClickHandler@%#BufferCurrentSign#▎    %3@BufferlineMainClickHandler@%#DevIconDefaultCurrent#    ↳ %3@BufferlineMainClickHandler@%#BufferCurrent#[buffer 3]     %3@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@                               ↳ %#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %1@BufferlineMainClickHandler@%#BufferInactive# %1@BufferlineMainClickHandler@%#BufferInactive#[buffer 1]     %1@BufferlineCloseClickHandler@%#BufferInactive# %7@BufferlineMainClickHandler@%#BufferCurrentSign#▎    %7@BufferlineMainClickHandler@%#DevIconDefaultCurrent# %7@BufferlineMainClickHandler@%#BufferCurrent#[buffer 7]     %7@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@%#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %1@BufferlineMainClickHandler@%#BufferInactive# %1@BufferlineMainClickHandler@%#BufferInactive#[buffer 1]     %1@BufferlineCloseClickHandler@%#BufferInactive# %9@BufferlineMainClickHandler@%#BufferCurrentSign#▎    %9@BufferlineMainClickHandler@%#DevIconDefaultCurrent# %9@BufferlineMainClickHandler@%#BufferCurrent#[buffer 9]     %9@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@%#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎ %#BufferInactiveIndex#1 %1@BufferlineMainClickHandler@%#BufferInactiveIcon# %1@BufferlineMainClickHandler@%#BufferInactive#scratchpad.md  %1@BufferlineCloseClickHandler@%#BufferInactive# %9@BufferlineMainClickHandler@%#BufferCurrentSign#▎ %#BufferCurrentIndex#2 %9@BufferlineMainClickHandler@%#BufferCurrentIcon# %9@BufferlineMainClickHandler@%#BufferCurrent#[buffer 9]  %9@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@%#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%1@BufferlineMainClickHandler@%#BufferInactiveSign#▎ %1@BufferlineMainClickHandler@%#BufferInactive# %1@BufferlineMainClickHandler@%#BufferInactive#asd.lua  %1@BufferlineCloseClickHandler@%#BufferInactive# %57@BufferlineMainClickHandler@%#BufferCurrentSign#▎ %57@BufferlineMainClickHandler@%#DevIconDefaultCurrent# %57@BufferlineMainClickHandler@%#BufferCurrent#[buffer 57]  %57@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@%#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabline,%5@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %#BufferInactiveIndex#1 %5@BufferlineMainClickHandler@%#BufferInactive# %5@BufferlineMainClickHandler@%#BufferInactive#[buffer 5]     %5@BufferlineCloseClickHandler@%#BufferInactive# %35@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %#BufferInactiveIndex#2 %35@BufferlineMainClickHandler@%#BufferInactive# %35@BufferlineMainClickHandler@%#BufferInactive#mac.conf     %35@BufferlineCloseClickHandler@%#BufferInactive# %37@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %#BufferInactiveIndex#3 %37@BufferlineMainClickHandler@%#BufferInactive# %37@BufferlineMainClickHandler@%#BufferInactive#init.sh     %37@BufferlineCloseClickHandler@%#BufferInactive# %39@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %#BufferInactiveIndex#4 %39@BufferlineMainClickHandler@%#BufferInactive# %39@BufferlineMainClickHandler@%#BufferInactive#default.conf     %39@BufferlineCloseClickHandler@%#BufferInactive# %53@BufferlineMainClickHandler@%#BufferInactiveSign#▎    %#BufferInactiveIndex#5 %53@BufferlineMainClickHandler@%#BufferInactive# %53@BufferlineMainClickHandler@%#BufferInactive#neovim-options-servey.lua     %53@BufferlineCloseClickHandler@%#BufferInactive# %79@BufferlineMainClickHandler@%#BufferCurrentSign#▎    %#BufferCurrentIndex#6 %79@BufferlineMainClickHandler@%#DevIconDefaultCurrent# %79@BufferlineMainClickHandler@%#BufferCurrent#[buffer 79]     %79@BufferlineCloseClickHandler@%#BufferCurrent# %0@BufferlineMainClickHandler@%#BufferTabpageFill#▎%#BufferTabpageFill#,1,1%
tabpagemax,*default*,225,99%
tabpagemax,15,2,1%
tabstop,4,103,45%
tabstop,2,91,40%
tabstop,*default*,31,14%
tabstop,3,2,1%
tagcase,*default*,223,98%
tagcase,smart,2,1%
tagcase,followscs,1,0%
tagcase,match,1,1%
tagfunc,*default*,226,100%
tagfunc,CocTagFunc,1,0%
tags,*default*,217,96%
tags,"./.git/tags;,./tags;,tags",2,1%
tags,"./.git/.tags,.tags,/home/jonas/.vimtags,/home/jonas/.tags,$VIRTUAL_ENV/.tags;",1,0%
tags,./.tags,1,0%
tags,"./.tags;,.tags",1,0%
tags,"./tags,tags",1,0%
tags,"./tags,tags;/Users/m1",1,0%
tags,"./tags;,./.git/tags,tags",1,1%
tags,"./tags;,.tags",1,1%
tags,".tags,tags;/",1,1%
termbidi,*default*,226,100%
termbidi,true,1,0%
termguicolors,true,216,95%
termguicolors,*default*,11,5%
textwidth,*default*,192,85%
textwidth,80,9,4%
textwidth,100,7,3%
textwidth,120,7,3%
textwidth,78,3,1%
textwidth,79,3,1%
textwidth,160,1,0%
textwidth,480,1,0%
textwidth,66,1,0%
textwidth,88,1,1%
textwidth,90,1,1%
textwidth,99,1,1%
thesaurus,*default*,223,98%
thesaurus,/home/fiodar_fiodarau/.config/nvim/dict/mthesaur.txt,1,0%
thesaurus,"/Users/xxxxxx/.config/nvim/words/en.txt,/Users/xxxxxx/.config/nvim/words/en_thesaur.txt",1,0%
thesaurus,~/.config/nvim/thesaurus/thesaurus.txt,1,1%
thesaurus,~/.vim/thesaurus.txt,1,1%
tildeop,*default*,220,97%
tildeop,true,7,3%
timeout,*default*,222,98%
timeout,false,5,2%
timeoutlen,*default*,144,64%
timeoutlen,500,41,18%
timeoutlen,300,11,5%
timeoutlen,400,8,4%
timeoutlen,200,4,2%
timeoutlen,250,3,1%
timeoutlen,100,2,1%
timeoutlen,2000,2,1%
timeoutlen,3000,2,1%
timeoutlen,350,2,1%
timeoutlen,700,2,1%
timeoutlen,900,2,1%
timeoutlen,0,1,0%
timeoutlen,360,1,0%
timeoutlen,50,1,0%
timeoutlen,5000,1,0%
title,*default*,174,77%
title,true,53,23%
titlelen,*default*,225,99%
titlelen,10,1,0%
titlelen,20,1,1%
titleold,*default*,224,99%
titleold,<Space>,1,0%
titleold," ${substitute(system(\""uname\""),'\\(.*\\)\\n','%\\1%','')} ",1,0%
titleold,footclient,1,1%
titlestring,*default*,208,92%
titlestring,%{utils#Get_titlestr()},2,1%
titlestring,"' %{expand(""%:p"")} '",1,0%
titlestring,"'%{expand(""%:~:h"")}'",1,0%
titlestring,"'%t%( %M%)%( (%{expand(""%:~:.:h"")})%)%( %a%)'",1,0%
titlestring,"'vi:%{expand(""%:t:r"")}'",1,0%
titlestring,%.20F,1,0%
titlestring,"%{split(getcwd(), '/')[-1]}",1,0%
titlestring,%t,1,0%
titlestring,%t - nvim,1,0%
titlestring,%t%M,1,0%
titlestring,nvim,1,0%
titlestring,nvim - %{getcwd()},1,1%
titlestring,nvim - %t,1,1%
titlestring,nvim [%{v:lua.Titlestring_Filename()}%( %M%)],1,1%
titlestring,nvim %t,1,1%
titlestring,pbogut@redeye:nvim:1432728:~,1,1%
titlestring,"vim %{substitute(getcwd(), '/home/danieln', '~', 0)}",1,1%
titlestring, %t %H %M,1,1%
ttimeout,*default*,225,99%
ttimeout,false,2,1%
ttimeoutlen,*default*,205,90%
ttimeoutlen,0,8,4%
ttimeoutlen,10,8,4%
ttimeoutlen,20,4,2%
ttimeoutlen,100,1,0%
ttimeoutlen,1000,1,0%
undofile,true,147,65%
undofile,*default*,80,35%
undolevels,*default*,210,93%
undolevels,10000,6,3%
undolevels,2000,3,1%
undolevels,100,2,1%
undolevels,10000000,2,1%
undolevels,200,2,1%
undolevels,250,1,0%
undolevels,4096,1,0%
undoreload,*default*,223,98%
undoreload,100,1,0%
undoreload,1000,1,0%
undoreload,10000000,1,1%
undoreload,500,1,1%
updatecount,*default*,224,99%
updatecount,100,2,1%
updatecount,0,1,0%
updatetime,*default*,71,31%
updatetime,300,60,27%
updatetime,100,26,12%
updatetime,250,25,11%
updatetime,50,10,4%
updatetime,500,9,4%
updatetime,1000,8,4%
updatetime,200,6,3%
updatetime,2000,3,1%
updatetime,400,2,1%
updatetime,700,2,1%
updatetime,750,2,1%
updatetime,120,1,0%
updatetime,1234,1,0%
updatetime,69,1,0%
viewoptions,*default*,218,96%
viewoptions,"folds,cursor,curdir,slash,unix",3,1%
viewoptions,"cursor,folds",2,1%
viewoptions,"cursor,folds,options,unix,slash",1,0%
viewoptions,"cursor,folds,slash,unix",1,0%
viewoptions,folds,1,1%
viewoptions,"folds,cursor",1,1%
viminfofile,*default*,223,98%
viminfofile,.vim/main.shada,1,0%
viminfofile,/home/username/.local/share/nvim/shada/main.shada,1,0%
viminfofile,/Users/(username)/.cache/lvim/lvim.shada,1,1%
viminfofile,~HOME/.local/state/avim/shada/avim.shada,1,1%
virtualedit,*default*,189,83%
virtualedit,block,24,11%
virtualedit,onemore,9,4%
virtualedit,"block,onemore",3,1%
virtualedit,all,2,1%
visualbell,*default*,206,91%
visualbell,true,21,9%
whichwrap,*default*,181,80%
whichwrap,"b,s,<,>,[,],h,l",11,5%
whichwrap,"<,>,[,],b,h,l,s",10,5%
whichwrap,"<>[]hl,b,s",5,2%
whichwrap,"b,s,h,l,<,>,[,]",4,2%
whichwrap,"b,s,<,>,[,]",2,1%
whichwrap,"h,l",2,1%
whichwrap,"h,l,<,>,[,],~",2,1%
whichwrap,"[,]",1,0%
whichwrap,"[,],b,s",1,0%
whichwrap,"<,>,[,],b,s,~",1,0%
whichwrap,"<,>,[,],h,l,~",1,0%
whichwrap,"<,>,h,l,[,]",1,0%
whichwrap,<>[]hl,1,0%
whichwrap,"b,h,l,s",1,0%
whichwrap,"b,h,l,s,<,>,[,],~",1,1%
whichwrap,"b,s,h,l",1,1%
whichwrap,"h,l,<,>,[,]",1,1%
wildcharm,*default*,213,94%
wildcharm,9,11,5%
wildcharm,26,3,1%
wildignore,*default*,178,80%
wildignore,"*.o,*.obj,*.dylib,*.bin,*.dll,*.exe,*/.git/*,*/.svn/*,*/__pycache__/*,*/build/**,*.jpg,*.png,*.jpeg,*.bmp,*.gif,*.tiff,*.svg,*.ico,*.pyc,*.pkl,*.DS_Store,*.aux,*.bbl,*.blg,*.brf,*.fls,*.fdb_latexmk,*.synctex.gz,*.xdv",2,1%
wildignore,*.pyc,2,1%
wildignore,"__pycache__,*.o,*~,*.pyc,*pycache*",1,0%
wildignore,".git,.hg,.svn,*.jpg,*.JPG,*.jpeg,*.JPEG,*.png,*.PNG,*.bmp,*.gif,*.o,*.obj,*.exe,*.dll,*.dylib,*.manifest,*.so,*.out,*.class,__pycache__,*.pyc,*pycache*,*.swp,*.swo,*.swn,*.DS_Store,*.ttf,*.otf",1,0%
wildignore,".git,.hg,.svn,*.pyc,*.o,*.out,*.jpg,*.jpeg,*.png,*.gif,*.zip,**/tmp/**,*.DS_Store,**/node_modules/**",1,0%
