hue_floor,hex,L,L_r,c,h
131,#9dff00,90.36,88.78,25.08,131.99
132,#97ff00,90.07,88.44,25.37,132.89
133,#90ff00,89.74,88.06,25.7,133.88
134,#88ff00,89.39,87.65,26.08,134.93
135,#80ff00,89.07,87.27,26.44,135.89
136,#76ff00,88.69,86.83,26.87,136.99
137,#6cff00,88.34,86.43,27.27,137.96
138,#60ff00,87.98,86.0,27.72,138.98
139,#52ff00,87.61,85.58,28.19,139.97
140,#40ff00,87.23,85.14,28.68,140.97
141,#23ff00,86.84,84.68,29.21,142.0
142,#00ff00,86.64,84.45,29.48,142.5
143,#00ff20,86.7,84.52,28.99,143.02
144,#00ff39,86.81,84.64,28.13,144.01
145,#00ff4a,86.92,84.77,27.28,145.07
146,#00ff56,87.02,84.89,26.56,146.03
147,#00ff61,87.12,85.01,25.83,147.09
148,#00ff6a,87.22,85.12,25.18,148.1
149,#00ff72,87.32,85.24,24.57,149.12
150,#00ff79,87.41,85.34,24.01,150.1
151,#00ff7f,87.49,85.44,23.53,151.02
152,#00ff85,87.58,85.54,23.03,152.02
153,#00ff8b,87.68,85.65,22.53,153.1
154,#00ff90,87.76,85.75,22.1,154.06
155,#00ff95,87.84,85.85,21.68,155.09
156,#00ff9a,87.93,85.95,21.26,156.18
157,#00ff9e,88.01,86.04,20.92,157.1
158,#00ffa2,88.08,86.13,20.58,158.06
159,#00ffa6,88.16,86.22,20.25,159.07
160,#00ffaa,88.24,86.31,19.92,160.14
161,#00ffae,88.33,86.41,19.59,161.25
162,#00ffb1,88.39,86.48,19.35,162.11
163,#00ffb4,88.46,86.56,19.12,163.01
164,#00ffb8,88.55,86.67,18.81,164.25
165,#00ffbb,88.61,86.74,18.58,165.21
166,#00ffbe,88.68,86.83,18.36,166.21
167,#00ffc1,88.76,86.91,18.14,167.23
168,#00ffc4,88.83,86.99,17.93,168.29
169,#00ffc6,88.88,87.05,17.79,169.02
170,#00ffc9,88.95,87.14,17.59,170.13
171,#00ffcc,89.03,87.23,17.39,171.27
172,#00ffce,89.08,87.29,17.26,172.05
173,#00ffd1,89.16,87.38,17.08,173.24
174,#00ffd3,89.21,87.44,16.96,174.06
175,#00ffd6,89.29,87.54,16.79,175.3
176,#00ffd8,89.35,87.6,16.68,176.15
177,#00ffda,89.41,87.66,16.58,177.01
178,#00ffdd,89.49,87.76,16.43,178.32
179,#00ffdf,89.55,87.83,16.33,179.21
180,#00ffe1,89.6,87.9,16.24,180.12
181,#00ffe3,89.66,87.96,16.16,181.03
182,#00ffe6,89.75,88.07,16.04,182.42
183,#00ffe8,89.81,88.14,15.96,183.37
184,#00ffea,89.87,88.21,15.89,184.32
185,#00ffec,89.93,88.28,15.83,185.28
186,#00ffee,89.99,88.35,15.77,186.25
187,#00fff0,90.05,88.42,15.71,187.23
188,#00fff2,90.12,88.49,15.66,188.22
189,#00fff4,90.18,88.57,15.61,189.21
190,#00fff6,90.24,88.64,15.57,190.21
191,#00fff8,90.31,88.72,15.54,191.22
192,#00fffa,90.37,88.79,15.51,192.23
193,#00fffc,90.44,88.87,15.48,193.24
194,#00fffe,90.51,88.95,15.46,194.26
195,#00feff,90.3,88.71,15.4,195.28
196,#00fcff,89.83,88.16,15.3,196.32
197,#00faff,89.36,87.61,15.21,197.37
198,#00f8ff,88.89,87.06,15.12,198.44
199,#06f7ff,88.67,86.81,15.03,199.0
200,#00f5ff,88.18,86.24,14.99,200.08
201,#00f3ff,87.71,85.69,14.92,201.19
202,#00f1ff,87.24,85.15,14.85,202.31
203,#00efff,86.77,84.6,14.78,203.44
204,#00eeff,86.53,84.32,14.75,204.02
205,#00ecff,86.06,83.78,14.7,205.17
206,#00eaff,85.59,83.23,14.65,206.33
207,#00e8ff,85.12,82.68,14.61,207.51
208,#00e7ff,84.89,82.41,14.6,208.1
209,#00e5ff,84.42,81.86,14.57,209.29
210,#00e3ff,83.94,81.31,14.54,210.48
211,#00e2ff,83.71,81.04,14.53,211.08
212,#00e0ff,83.24,80.5,14.52,212.28
213,#00deff,82.77,79.95,14.51,213.48
214,#00dcff,82.3,79.4,14.52,214.69
215,#00daff,81.83,78.86,14.52,215.9
216,#00d9ff,81.6,78.59,14.53,216.5
217,#00d7ff,81.13,78.04,14.55,217.71
218,#00d5ff,80.66,77.5,14.58,218.91
219,#00d4ff,80.43,77.23,14.59,219.52
220,#00d2ff,79.96,76.68,14.63,220.71
221,#00d0ff,79.49,76.14,14.68,221.91
222,#00cfff,79.26,75.87,14.7,222.5
223,#00cdff,78.79,75.33,14.76,223.68
224,#00cbff,78.32,74.79,14.82,224.85
225,#00caff,78.09,74.51,14.85,225.44
226,#00c8ff,77.62,73.97,14.93,226.59
227,#00c6ff,77.16,73.43,15.01,227.74
228,#00c4ff,76.69,72.89,15.1,228.87
229,#00c2ff,76.23,72.36,15.19,229.99
230,#00c1ff,76.0,72.09,15.24,230.54
231,#00bfff,75.54,71.55,15.34,231.64
232,#00bdff,75.07,71.01,15.45,232.72
233,#00bbff,74.61,70.48,15.57,233.78
234,#00b9ff,74.15,69.94,15.69,234.83
235,#00b7ff,73.69,69.41,15.82,235.85
236,#00b5ff,73.23,68.88,15.96,236.86
237,#00b3ff,72.77,68.35,16.1,237.85
238,#00b1ff,72.31,67.81,16.24,238.81
239,#00afff,71.86,67.29,16.39,239.76
240,#00adff,71.4,66.76,16.55,240.69
241,#00abff,70.95,66.23,16.71,241.6
242,#00a8ff,70.26,65.44,16.96,242.92
243,#00a6ff,69.81,64.92,17.14,243.77
244,#00a4ff,69.36,64.4,17.32,244.6
245,#00a1ff,68.69,63.62,17.59,245.81
246,#009eff,68.02,62.84,17.88,246.98
247,#009cff,67.57,62.32,18.07,247.72
248,#0099ff,66.9,61.55,18.37,248.81
249,#0096ff,66.24,60.79,18.67,249.84
250,#0093ff,65.58,60.03,18.99,250.83
251,#0090ff,64.93,59.27,19.3,251.78
252,#008cff,64.06,58.27,19.74,252.97
253,#0089ff,63.42,57.53,20.07,253.82
254,#0085ff,62.57,56.55,20.51,254.88
255,#0081ff,61.73,55.57,20.97,255.86
256,#007cff,60.69,54.38,21.54,257.0
257,#0078ff,59.87,53.43,22.0,257.83
258,#0072ff,58.66,52.05,22.7,258.96
259,#006cff,57.49,50.69,23.39,259.95
260,#0065ff,56.16,49.17,24.19,260.95
261,#005cff,54.52,47.29,25.2,261.99
262,#0051ff,52.66,45.15,26.38,262.94
263,#003aff,49.32,41.34,28.55,263.99
264,#0000ff,45.2,36.66,31.32,264.05
